Esperado,Obtenido,# Tareas,,,ANN
3147.829,4553.865,590,16,-1406.036,45
3136.317,4438.472,591,16,-1302.155,42
3082.78,4336.078,592,16,-1253.298,41
3114.449,4293.564,593,16,-1179.115,38
3152.09,4348.122,594,16,-1196.032,38
3227.775,4457.612,595,16,-1229.837,38
3178.284,4484.834,596,16,-1306.55,41
3201.381,4795.689,597,16,-1594.308,50
3197.168,5029.498,598,16,-1832.33,57
3188.52,4290.418,599,16,-1101.898,35
3210.33,4724.448,600,16,-1514.118,47
3135.606,4145.515,601,16,-1009.909,32
3220.402,4777.521,602,16,-1557.119,48
3180.368,4339.83,603,16,-1159.462,36
3199.611,4527,604,16,-1327.389,41
3221.76,4563.558,605,16,-1341.798,42
3198.656,4405.298,606,16,-1206.642,38
3186.601,4445.859,607,16,-1259.258,40
3229.826,4379.656,608,16,-1149.83,36
3188.609,4581.488,609,16,-1392.879,44
3215.788,4814.713,610,16,-1598.925,50
3213.506,4419.343,611,16,-1205.837,38
3239.814,4331.739,612,16,-1091.925,34
3205.534,4580.848,613,16,-1375.314,43
3233.96,4561.321,614,16,-1327.361,41
3278.882,4562.921,615,16,-1284.039,39
3198.767,4305.995,616,16,-1107.228,35
3188.04,4442.122,617,16,-1254.082,39
3297.772,4782.435,618,16,-1484.663,45
3291.528,4556.988,619,16,-1265.46,38
3314.019,4648.77,620,16,-1334.751,40
3279.45,4938.928,621,16,-1659.478,51
3349.799,4764.213,622,16,-1414.414,42
3300.025,4965.088,623,16,-1665.063,50
3300.777,4306.311,624,16,-1005.534,30
3316.355,4293.295,625,16,-976.94,29
3370.813,4682.2,626,16,-1311.387,39
3278.323,4799.074,627,16,-1520.751,46
3355.69,4737.062,628,16,-1381.372,41
3320.662,4747.998,629,16,-1427.336,43
3304.379,4373.341,630,16,-1068.962,32
3350.927,5025.183,631,16,-1674.256,50
3379.698,5016.219,632,16,-1636.521,48
3388.246,4671.088,633,16,-1282.842,38
3259.205,4652.004,634,16,-1392.799,43
3261.348,4623.341,635,16,-1361.993,42
3271.196,4779.037,636,16,-1507.841,46
3384.56,4792.813,637,16,-1408.253,42
3476.707,4675.066,638,16,-1198.359,34
3327.242,4636.405,639,16,-1309.163,39
3362.872,4661.342,640,16,-1298.47,39
3409.22,4999.353,641,16,-1590.133,47
3340.254,4701.721,642,16,-1361.467,41
3433.525,5148.335,643,16,-1714.81,50
3384.422,4551.552,644,16,-1167.13,34
3448.44,4568.07,645,16,-1119.63,32
3388.898,4701.907,646,16,-1313.009,39
3435.334,5069.399,647,16,-1634.065,48
3405.025,4574.377,648,16,-1169.352,34
3417.92,4864.253,649,16,-1446.333,42
3431.343,4921.991,650,16,-1490.648,43
3493.874,4955.541,651,16,-1461.667,42
3466.074,5010.929,652,16,-1544.855,45
3418.208,4947.629,653,16,-1529.421,45
3431.996,4704.724,654,16,-1272.728,37
3487.239,4868.572,655,16,-1381.333,40
3381.661,4858.948,656,16,-1477.287,44
3401.864,4833.1,657,16,-1431.236,42
3515.737,4579.523,658,16,-1063.786,30
3458.905,4792.999,659,16,-1334.094,39
3478.837,4864.339,660,16,-1385.502,40
3451.22,4948.241,661,16,-1497.021,43
3523.285,4592.847,662,16,-1069.562,30
3518.332,5099.887,663,16,-1581.555,45
3450.882,4794.389,664,16,-1343.507,39
3531.338,5122.498,665,16,-1591.16,45
3493.042,5004.014,666,16,-1510.972,43
3534.854,4943.702,667,16,-1408.848,40
3493.865,4608.681,668,16,-1114.816,32
3446.337,4585.703,669,16,-1139.366,33
3521.05,5002.967,670,16,-1481.917,42
3575.41,4703.061,671,16,-1127.651,32
3483.824,4662.655,672,16,-1178.831,34
3554.061,4953.351,673,16,-1399.29,39
3540.946,5286.748,674,16,-1745.802,49
3530.356,5014.654,675,16,-1484.298,42
