Esperado,Obtenido,,,,ANN
17017.233,19199.742,504,4,-2182.509,13
17108.426,19336.656,505,4,-2228.23,13
16926.981,18859.75,506,4,-1932.769,11
16709.367,18191.738,507,4,-1482.371,9
16780.724,18376.017,508,4,-1595.293,10
17405.041,20167.633,509,4,-2762.592,16
16926.578,18965.384,510,4,-2038.806,12
17162.633,18763.971,511,4,-1601.338,9
16989.369,18857.444,512,4,-1868.075,11
16993.209,19088.471,513,4,-2095.262,12
17018.162,19198.627,514,4,-2180.465,13
17352.312,19223.522,515,4,-1871.21,11
17141.737,18726.664,516,4,-1584.927,9
17777.019,19465.476,517,4,-1688.457,9
17580.998,19874.775,518,4,-2293.777,13
16994.977,18462.904,519,4,-1467.927,9
17200.627,18397.667,520,4,-1197.04,7
17299.392,19246.019,521,4,-1946.627,11
17518.845,20309.83,522,4,-2790.985,16
17181.856,18902.802,523,4,-1720.946,10
18048.355,19775.503,524,4,-1727.148,10
17664.217,19493.4,525,4,-1829.183,10
17926.45,19973.648,526,4,-2047.198,11
17645.971,20406.048,527,4,-2760.077,16
17669.27,19695.749,528,4,-2026.479,11
17834,20045.393,529,4,-2211.393,12
17362.466,19107.053,530,4,-1744.587,10
17739.421,19686.558,531,4,-1947.137,11
17841.535,19024.862,532,4,-1183.327,7
17576.871,20029.048,533,4,-2452.177,14
18132.079,19448.189,534,4,-1316.11,7
17748.867,19594.844,535,4,-1845.977,10
18337.986,20493.303,536,4,-2155.317,12
18014.59,19618.183,537,4,-1603.593,9
18380.192,20380.513,538,4,-2000.321,11
17993.889,20218.154,539,4,-2224.265,12
18100.45,19912.064,540,4,-1811.614,10
18056.699,20264.331,541,4,-2207.632,12
17794.219,19493.344,542,4,-1699.125,10
18442.328,20757.79,543,4,-2315.462,13
18263.117,20811.938,544,4,-2548.821,14
18356.768,20431.461,545,4,-2074.693,11
17907.168,19904.172,546,4,-1997.004,11
17942.163,20168.443,547,4,-2226.28,12
18511.151,20199.598,548,4,-1688.447,9
18034.165,19894.079,549,4,-1859.914,10
18452.615,19940.214,550,4,-1487.599,8
18382.82,20184.789,551,4,-1801.969,10
18620.937,20995.885,552,4,-2374.948,13
18427.393,20274.23,553,4,-1846.837,10
18234.673,20439.435,554,4,-2204.762,12
18854.287,21021.71,555,4,-2167.423,11
18877.611,21097.97,556,4,-2220.359,12
18365.544,19804.276,557,4,-1438.732,8
18789.525,20940.15,558,4,-2150.625,11
18856.026,21137.248,559,4,-2281.222,12
18523,20865.033,560,4,-2342.033,13
18401.958,20305.8,561,4,-1903.842,10
18467.504,20091.483,562,4,-1623.979,9
18749.169,21068.469,563,4,-2319.3,12
18294.637,20072.015,564,4,-1777.378,10
19012.835,21352.703,565,4,-2339.868,12
19109.606,21739.985,566,4,-2630.379,14
18788.907,20652.031,567,4,-1863.124,10
19361.521,21706.858,568,4,-2345.337,12
19062.933,21784.27,569,4,-2721.337,14
19018.69,22120.419,570,4,-3101.729,16
18877.904,20797.019,571,4,-1919.115,10
19139.48,21290.512,572,4,-2151.032,11
19048.574,21541.377,573,4,-2492.803,13
18576.377,20359.683,574,4,-1783.306,10
19129.975,20896.207,575,4,-1766.232,9
19498.83,22092.829,576,4,-2593.999,13
19501.412,21696.468,577,4,-2195.056,11
19509.828,21657.544,578,4,-2147.716,11
19447.024,21737.834,579,4,-2290.81,12
19421.563,21386.663,580,4,-1965.1,10
19398.259,21287.195,581,4,-1888.936,10
19250.069,21289.09,582,4,-2039.021,11
19739.826,21958.579,583,4,-2218.753,11
19308.946,21069,584,4,-1760.054,9
19465.926,21233.578,585,4,-1767.652,9
19273.324,21359.928,586,4,-2086.604,11
19684.829,22389.737,587,4,-2704.908,14
19141.522,21188.911,588,4,-2047.389,11
19966.073,22060.795,589,4,-2094.722,10
19357.611,21263.762,590,4,-1906.151,10
19477.665,22043.729,591,4,-2566.064,13
20182.854,22059.014,592,4,-1876.16,9
19997.76,21950.474,593,4,-1952.714,10
20240.351,22452.066,594,4,-2211.715,11
19650.886,21487.758,595,4,-1836.872,9
20189.638,22723.872,596,4,-2534.234,13
20065.321,22353.552,597,4,-2288.231,11
20706.981,23385.777,598,4,-2678.796,13
20371.499,22513.218,599,4,-2141.719,11
20076.158,22376.82,600,4,-2300.662,11
20016.28,22545.175,601,4,-2528.895,13
20136.208,22070.174,602,4,-1933.966,10
19831.988,21309.23,603,4,-1477.242,7
20599.217,22827.659,604,4,-2228.442,11
19875.998,22175.056,605,4,-2299.058,12
20377.317,22391.319,606,4,-2014.002,10
20171.396,21973.04,607,4,-1801.644,9
20647.903,22811.457,608,4,-2163.554,10
20013.117,22313.431,609,4,-2300.314,11
20175.998,22327.762,610,4,-2151.764,11
20429.029,23018.162,611,4,-2589.133,13
20369.79,22528.349,612,4,-2158.559,11
20266.081,22306.258,613,4,-2040.177,10
20338.756,22288.541,614,4,-1949.785,10
20473.252,22975.426,615,4,-2502.174,12
20853.074,23045.715,616,4,-2192.641,11
20451.587,22451.328,617,4,-1999.741,10
20259.413,22115.797,618,4,-1856.384,9
20719.631,22947.61,619,4,-2227.979,11
21073.623,22948.719,620,4,-1875.096,9
20778.976,23411.48,621,4,-2632.504,13
20614.532,22820.287,622,4,-2205.755,11
20843.935,23164.99,623,4,-2321.055,11
21102.255,23295.976,624,4,-2193.721,10
21197.469,23044.52,625,4,-1847.051,9
20445.006,22175.223,626,4,-1730.217,8
21283.998,23420.632,627,4,-2136.634,10
21162.629,22644.039,628,4,-1481.41,7
20687.56,23026.186,629,4,-2338.626,11
21225.725,22914.708,630,4,-1688.983,8
20831.315,23041.047,631,4,-2209.732,11
20887.185,23601.978,632,4,-2714.793,13
21557.851,24047.268,633,4,-2489.417,12
21364.611,23564.354,634,4,-2199.743,10
20986.586,22914.45,635,4,-1927.864,9
21296.642,23030.554,636,4,-1733.912,8
