,,,,,SVM
14705.72,16259.711,440,4,-1553.991,11
15009.661,16517.404,441,4,-1507.743,10
15194.349,17352.569,442,4,-2158.22,14
14424.968,17243.265,443,4,-2818.297,20
14616.554,16584.177,444,4,-1967.623,13
15177.058,17185.032,445,4,-2007.974,13
15200.363,17221.343,446,4,-2020.98,13
14920.93,17208.955,447,4,-2288.025,15
14666.415,17517.79,448,4,-2851.375,19
15419.679,17205.639,449,4,-1785.96,12
15309.922,17768.182,450,4,-2458.26,16
15259.223,17202.15,451,4,-1942.927,13
15200.527,17686.017,452,4,-2485.49,16
15595.753,17661.244,453,4,-2065.491,13
15649.009,17707.459,454,4,-2058.45,13
15361.622,17564.119,455,4,-2202.497,14
15467.449,17552.357,456,4,-2084.908,13
15316.814,17324.327,457,4,-2007.513,13
15543.426,17438.75,458,4,-1895.324,12
15601.838,17365.247,459,4,-1763.409,11
15599.03,17220.682,460,4,-1621.652,10
15445.082,17445.902,461,4,-2000.82,13
15882.722,18006.811,462,4,-2124.089,13
15112.089,16989.619,463,4,-1877.53,12
15476.881,17252.238,464,4,-1775.357,11
15748.172,17706.618,465,4,-1958.446,12
15485.086,17577.25,466,4,-2092.164,14
15520.015,17752.232,467,4,-2232.217,14
16051.415,18567.005,468,4,-2515.59,16
15970.042,17577.131,469,4,-1607.089,10
15639.784,17356.091,470,4,-1716.307,11
15538.988,17716.916,471,4,-2177.928,14
16050.959,17879.449,472,4,-1828.49,11
15853.511,17436.944,473,4,-1583.433,10
16067.724,18000.039,474,4,-1932.315,12
16061.203,18012.871,475,4,-1951.668,12
15809.038,18260.364,476,4,-2451.326,16
16352.659,17935.491,477,4,-1582.832,10
16282.668,18141.404,478,4,-1858.736,11
16316.766,18573.068,479,4,-2256.302,14
16027.784,18360.35,480,4,-2332.566,15
16212.004,18121.792,481,4,-1909.788,12
16066.05,18448.469,482,4,-2382.419,15
16200.212,18219.344,483,4,-2019.132,12
16062.403,18191.066,484,4,-2128.663,13
16094.402,17656.246,485,4,-1561.844,10
16449.054,18588.137,486,4,-2139.083,13
16089.827,18720.055,487,4,-2630.228,16
16301.944,18001.434,488,4,-1699.49,10
16767.933,18930.155,489,4,-2162.222,13
16443.473,18577.942,490,4,-2134.469,13
15918.643,17456.965,491,4,-1538.322,10
16517.144,18816.764,492,4,-2299.62,14
16427.472,18727.815,493,4,-2300.343,14
16477.489,18738.996,494,4,-2261.507,14
16222.137,18625.79,495,4,-2403.653,15
16448.956,18847.205,496,4,-2398.249,15
16711.862,18393.039,497,4,-1681.177,10
16776.413,18878.602,498,4,-2102.189,13
16816.313,19219.936,499,4,-2403.623,14
16872.915,18871.11,500,4,-1998.195,12
16808.202,19004.689,501,4,-2196.487,13
17020.412,18589.934,502,4,-1569.522,9
17033.881,19526.194,503,4,-2492.313,15
17017.233,19564.3,504,4,-2547.067,15
17108.426,19282.837,505,4,-2174.411,13
16926.981,18605.206,506,4,-1678.225,10
16709.367,18528.782,507,4,-1819.415,11
16780.724,18800.847,508,4,-2020.123,12
17405.041,20523.31,509,4,-3118.269,18
16926.578,19312.352,510,4,-2385.774,14
17162.633,19201.157,511,4,-2038.524,12
16989.369,19343.42,512,4,-2354.051,14
16993.209,19248.662,513,4,-2255.453,13
17018.162,19323.025,514,4,-2304.863,14
17352.312,19140.882,515,4,-1788.57,10
17141.737,19125.584,516,4,-1983.847,12
17777.019,20067.434,517,4,-2290.415,13
17580.998,20188.78,518,4,-2607.782,15
16994.977,19141.008,519,4,-2146.031,13
17200.627,18768.029,520,4,-1567.402,9
17299.392,19786.658,521,4,-2487.266,14
17518.845,20818.084,522,4,-3299.239,19
17181.856,18949.877,523,4,-1768.021,10
18048.355,19858.535,524,4,-1810.18,10
17664.217,19708.268,525,4,-2044.051,12
17926.45,19764.963,526,4,-1838.513,10
17645.971,20528.98,527,4,-2883.009,16
17669.27,19603.772,528,4,-1934.502,11
17834,20194.65,529,4,-2360.65,13
17362.466,19411.04,530,4,-2048.574,12
17739.421,19844.288,531,4,-2104.867,12
17841.535,19443.311,532,4,-1601.776,9
17576.871,20438.635,533,4,-2861.764,16
18132.079,19895.516,534,4,-1763.437,10
17748.867,19511.219,535,4,-1762.352,10
18337.986,21057.551,536,4,-2719.565,15
18014.59,19782.96,537,4,-1768.37,10
18380.192,20882.337,538,4,-2502.145,14
17993.889,20512.667,539,4,-2518.778,14
18100.45,19884.475,540,4,-1784.025,10
18056.699,20578.164,541,4,-2521.465,14
17794.219,19682.434,542,4,-1888.215,11
18442.328,21000.509,543,4,-2558.181,14
18263.117,21500.739,544,4,-3237.622,18
18356.768,20774.472,545,4,-2417.704,13
17907.168,20018.029,546,4,-2110.861,12
17942.163,20170.82,547,4,-2228.657,12
18511.151,20279.388,548,4,-1768.237,10
18034.165,20469.521,549,4,-2435.356,14
18452.615,20435.047,550,4,-1982.432,11
18382.82,20503.204,551,4,-2120.384,12
